region,district,area
Volta,South Dayi,Tonkor-Kaira
North East,West Mamprusi,Tonguri
Volta,Ho West,Tongulo
Upper East,Talensi-Nabdam,Tongo
Northern,Karaga,Tong
Northern,Nanumba North,Tong
Upper East,Kassena Nankana,Tondongo
Savannah,Central Gonja,Tonayiri
Eastern,Kwahu Afram Plains South,Tompori
Greater Accra,Ada East,Tomivawkope
Western,Ahanta West,Tumentu
Western,Wassa Amenfi West,Tomento
Upper West,Nandom,Tome
Volta,Ho West,Tombave
Volta,North Dayi,Tomatso
Western,Wassa Amenfi West,Tolungbwang
Savannah,Central Gonja,Tolundipe
Northern,Tolon District,Tolon
Northern,Kumbumgu,Tollugu
Upper West,Lawra,Tolibri
Volta,South Tongu District,Tolesem
Volta,South Tongu District,Tokwe
Upper East,Garu District,Tokwari
Greater Accra,Ga South,Tokusemitsigani
Western,Tarkwa Nsuaem,Tokunanso
Central,Assin South,Tokukrom
Volta,Ketu North District,Tokpo
Volta,North Tongu,Tokpo
Volta,Afadzato South,Tokplolo
Volta,Kpando,Tokplale
Volta,North Dayi,Tokpeta
Western North,Aowin/Suaman,Tokosea
Volta,North Dayi,Tokome
Volta,Ho,Tokokoe
Volta,Ketu North District,Tokofe
Volta,Ketu South District,Tokor
Volta,South Tongu District,Toklokpo
Volta,Ho,Tokaw
Volta,Akatsi South,Tokanu
Central,Twifo Ati-Morkwa,Tojumda
North East,Bunkpurugu Nakpanduri District,Tojin
Volta,North Tongu,Toji
North East,Chereponi,Tojenda
Greater Accra,Ada East,Toje
Volta,South Tongu District,Tohuya
Eastern,Lower Manya Krobo,Tohunya
Eastern,Lower Manya Krobo,Togome
Volta,Central Tongu,Togodo
Greater Accra,Ada East,Togbloku
North East,Bunkpurugu Nakpanduri District,Togbini
Volta,Ketu North District,Togbeve
Greater Accra,Ada West,Togakope
Greater Accra,Ada West,Toflokpo
Volta,North Tongu,Tofledukofe
Northern,Nanumba North,Toenajile
Volta,Hohoe,Todzi
Volta,Ho West,Todze
Volta,North Dayi,Todome
Volta,Ho West,Todome
Volta,North Dayi,Todji
Volta,Adaklu,Toda
Upper East,Garu District,Tobongu
Central,Asikuma/Odoben/Brakwa,Toboasi
Central,Gomoa East,Toboasi
Western,Jomoro,Edobo
Northern,Tatale-Sangule District,Tobale
Ashanti,Atwima Nwabiagya,Toasi
Central,Effutu,Toansa
Ashanti,Adansi South,Toankonse
Volta,Ho West,Toabem
Volta,South Dayi,To
Northern,Nanumba South,Tjole
Upper West,Jirapa,Tizza
Ashanti,Adansi North,Tebaabi Plantation
Bono,Berekum,Tiwobabi
North East,West Mamprusi,Tiugbini
Ashanti,Bosomtwe,Tetrefu
Volta,North Tongu,Titikofe
Volta,South Tongu District,Titekpo
Ashanti,Unknown,Tita
Ashanti,Amansie Central,Tita
North East,West Mamprusi,Tisungo
Northern,Kumbumgu,Tirrung
Northern,Gushiegu,Tirno
Upper East,Binduri District,Tirago
Greater Accra,Ga West,Tipai
Northern,Gushiegu,Tinyowil
Northern,Mion,Tintungu
Western,Mpohor/Wassa East,Tintinso
Western,Mpohor/Wassa East,Tintimshe
Western,Prestea-Huni Valley,Tintim
North East,Bunkpurugu Nakpanduri District,Tintilugu
Ashanti,Unknown,Tinte Bepo West Extension Forest Reserve
Ashanti,Ahafo Ano South,Tinte Bepo
Bono East,Atebubu-Amantin District,Tintari
North East,East Mamprusi,Tintaraga
Western,Prestea-Huni Valley,Tinkwakrom
Eastern,Suhum/Kraboa/Coaltar,Tinkum
Ashanti,Amansie Central,Tinkorang
Eastern,Akuapim North,Tinkong
North East,West Mamprusi,Tingkaya
Savannah,Bole,Tinga
Upper East,Bolgatanga Municipal District,Tindonsablugu
Upper East,Nabdam,Tindongo
Northern,Gushiegu,Tindongo
Northern,Karaga,Tindayili
Northern,Kumbumgu,Tindayili
Northern,Mion,Tindayili
Northern,Tolon District,Tindanyili
Northern,Yendi,Tindan
Upper East,Binduri District,Tinawgo
Western North,Aowin/Suaman,Tinakum
Upper West,Wa East,Tinniabele
North East,East Mamprusi,Timpeia
Upper East,Bawku West,Timoni
Ashanti,Ejisu Juaben,Timiabu
Bono East,Nkoranza North District,Timeibu
Northern,Kumbumgu,Timbungu
Upper West,Sissala West,Timbie
Ashanti,Sekyere Afram Plains,Timanti
North East,Chereponi,Timanga
Upper East,Bawku West,Tili Natinga
Northern,Tolon District,Tila
Ashanti,Ejisu Juaben,Tikurom
Western North,Aowin/Suaman,Tikorikrom
Western,Jomoro,Tikobo Two
Western,Jomoro,Tikobo Number One
Bono East,Kintampo North Municipal District,Tiklakuma
Northern,Mion,Tijo
Western,Wassa Amenfi East,Tihinti
Central,Assin South,Tihinti
Western,Wassa Amenfi West,Tihiniti
Northern,Gushiegu,Tigbongo
Northern,Tolon District,Tienayili
Upper East,Bawku West,Tiego
Northern,Karaga,Tidon
North East,East Mamprusi,Tichirigitaba
Northern,Tamale,Ticheli
Northern,Saboba,Tichecha
Upper West,Jirapa,Tigboro
Northern,Tolon District,Tibornayiri
North East,East Mamprusi,Tiboriguom
Northern,Tolon District,Tibogona
Northern,Tolon District,Tiboggo
North East,East Mamprusi,Tibagale
Ashanti,Offinso North,Tiason Beppo
Ashanti,Obuasi,Tiasi
North East,East Mamprusi,Tianoba
North East,Chereponi,Chiakasi
North East,West Mamprusi,Tia
Western,Ahanta West,Cape Three Points
Central,Twifo Ati-Morkwa,Thomaskurom
Ashanti,Afigya-Kwabre District,Tetrim
Ashanti,Amansie Central,Tetrifu
Ashanti,Amansie West,Tetrem
Ashanti,Asante Akim North,Tetoabo
Central,Abura/Asebu/Kwamankese,Tetikasum
Volta,Ho West,Teti
Greater Accra,Shai Osudoku District,Teti
Central,Abura/Asebu/Kwamankese,Teti
Greater Accra,Shai Osudoku District,Tetewayo
Eastern,Ayensuano,Tetenkrukrom
North East,Bunkpurugu Nakpanduri District,Teten
Oti,Jasikan,Teteman
Eastern,Ayensuano,Tetekrowa
Volta,Ketu South District,Tetekope
Volta,Keta,Tetekofe
Eastern,Suhum/Kraboa/Coaltar,Tetekasum
Ashanti,Amansie West,Tetekaso
Greater Accra,Ga South,Tetegbu
Greater Accra,Shai Osudoku District,Tetedwa
Eastern,East Akim,Tete
Upper East,Binduri District,Tetauko
Northern,Karaga,Tesungu
Upper East,Garu District,Tesunga
North East,East Mamprusi,Tesunga
Upper East,Bawku West,Teshi Natinga
Greater Accra,Ledzekuku-Krowor,Teshi Old Town
Savannah,Bole,Gyeselima
Greater Accra,Accra,Tesano
Greater Accra,Ledzekuku-Krowor,Tesa
Northern,Savelugu Municipal District,Tarikpa
Western,Nzema East,Terceira Point
Volta,Ho West,Terafomi
Volta,Adaklu,Terafome
Volta,Central Tongu,Terafome
Oti,Biakoye,Tepo
Ashanti,Ahafo Ano North,Tepa
Upper East,Talensi-Nabdam,Tenzugu
North East,Bunkpurugu Nakpanduri District,Tenzia
Northern,Karaga,Tenyeli
North East,West Mamprusi,Tenkpanga
Bono,Unknown,Tengbe
Volta,Central Tongu,Tenfaw
Eastern,Akuapim North,Tendurasi
Western,Mpohor/Wassa East,Tendruasi
Northern,Zabzugu District,Tendan
Greater Accra,Ga South,Tenbibian
North East,East Mamprusi,Tempela
North East,Chereponi,Tempango
Upper East,Garu District,Tempane Natinga
North East,Bunkpurugu Nakpanduri District,Tempane
Eastern,Birim North,Temoni
Bono East,Kintampo South District,Temebabi
North East,Chereponi,Tembuon
Greater Accra,Unknown,Tema Harbour
North East,Bunkpurugu Nakpanduri District,Tema
Greater Accra,Tema Metropolitan District,Tema
Upper East,Kassena Nankana,Telenia
Volta,Akatsi South,Telemale
Volta,North Tongu,Telafomi
Greater Accra,Shai Osudoku District,Tekpanya
Western,Ellembelle,Teleku Bokazo
Bono,Jaman South,Tekese
Northern,Gushiegu,Tejenga
Central,Upper Denkyira East,Tejamawso
Greater Accra,Ga East,Teiman
Eastern,Akuapim South,Teiko
Central,Assin South,Tehinite
Volta,North Tongu,Tehe
Northern,Karaga,Tegin
Volta,Keta,Tegbi
Volta,Ketu North District,Tegbetime
Volta,South Tongu District,Tefle
Upper East,North Builsa District,Tiedema
Greater Accra,Shai Osudoku District,Techuchi
Ahafo,Tano North,Teekyere
Western,Jomoro,Tekyinta
Ahafo,Tano South,Techimantia
Eastern,Ayensuano,Techimanti
Ashanti,Atwima Kwanwoma,Takyiman Mmerewagya
Bono East,Techiman North District,Techiman
Ashanti,Kumasi,Takyiman
Central,Gomoa West,Techiman
Central,Ajumako/Enyan/Essiam,Techiman
Central,Ekumfi,Techiman
Central,Twifo Ati-Morkwa,Techikrom
Western North,Aowin/Suaman,Techikrom
North East,Chereponi,Techegu
Greater Accra,Ga South,Tebu
Ashanti,Asante Akim South District,Tebruku
Western,Tarkwa Nsuaem,Tebrebe Kakraba
Western,Tarkwa Nsuaem,Tebrebe
Ashanti,Sekyere Afram Plains,Tebibepo
Central,Assin South,Tebi
Ashanti,Bosome Freho,Tebeso Number 1
Ashanti,Bosome Freho,Tebeso
Central,Assin North,Tetekurom
Upper East,Kassena Nankana,Taziga
Oti,Biakoye,Tayi
Western,Unknown,Tawya
Volta,South Tongu District,Tawvi
Eastern,Asuogyaman,Tawtibo
Upper West,Wa West,Tawinchela
Central,Twifo Ati-Morkwa,Tawiakrom
Central,Agona East,Tawiakrom
Volta,Central Tongu,Tawgankofe
Greater Accra,Shai Osudoku District,Tawdum
Volta,North Tongu,Taton
Western North,Aowin/Suaman,Tatia
Upper West,Sissala East,Tasaw
Upper East,Bongo District,Tarongo
Northern,Nanumba North,Tarnamo
Ashanti,Kumasi,Tarkwa
Western,Tarkwa Nsuaem,Tarkwa
Upper East,Garu District,Kamsori Tarivago
Bono East,Techiman North District,Tadeeso
Savannah,Sawla-Tuna-Kalba,Tare
Ashanti,Sekyere Afram Plains,Taratara
Savannah,East Gonja,Tarapa
Eastern,Akuapim South,Tarankoro
Upper East,Garu District,Taraganga
Upper West,Nadowli,Takpo
Central,Assin North,Tapiri
Eastern,Denkyembour,Tapiramang
Northern,Yendi,Tapia
Central,Assin North,Tapere
Upper West,Sissala East,Tapania
Oti,Biakoye,Tapa Amanya
Oti,Biakoye,Tapa Abotoase
Eastern,Upper West Akim,Taobosoro
Western,Wassa Amenfi West,Tanyima
Upper West,Sissala East,Tanvele
Upper West,Nandom,Tantuo
Central,Ekumfi,Tantum
Western,Ellembelle,Tandan
Western,Ellembelle,Tantan
Central,Ekumfi,Tantamkweri Point
North East,Mamprugo Moaduri District,Tantali
Upper East,Binduri District,Tansiya
Western North,Unknown,Tano Suraw Forest Reserve
Western North,Unknown,Tano Suhien Forest Reserve
Bono East,Techiman North District,Tanoso
Ahafo,Tano North,Tanoso
Ashanti,Kumasi,Tanoso
Western North,Bibiani/Ahwiaso/Bekwai,Tanoso
Western,Jomoro,Tanoso
Ashanti,Unknown,Tano-Ofin Forest Reserve
Western North,Unknown,Tano Nimiri Forest Reserve
Ashanti,Atwima Mponua,Tanokrom
Western North,Aowin/Suaman,Tanokrom
Ashanti,Atwima Mponua,Tanodumase
Western North,Unknown,Tano Anwia Forest Reserve
Upper West,Sissala East,Tanla
Savannah,Bole,Tankpe
Upper East,Nabdam,Sekoti Topene
Northern,Zabzugu District,Tankpa
Upper East,Bongo District,Tankongaw
Bono,Banda,Tankomia
Bono East,Nkoranza North District,Tankaw
North East,Chereponi,Tanja
Upper West,Wa East,Naha
Upper West,Wa West,Tanina
Savannah,East Gonja,Tangni
Northern,Kumbumgu,Tanginga
North East,East Mamprusi,Tangbini
Upper West,Nadowli,Tangasia
Upper West,Lambussie Karni,Tangasi
Upper East,Bawku West,Tanga Natinga
Upper East,Kassena Nankana,Tangabisi
Northern,Karaga,Tanga
Bono East,Nkoranza North District,Tanfiano
Bono East,Nkoranza North District,Tanfiano Number One
North East,Mamprugo Moaduri District,Tandu
Western,Nzema East,Tandokwere
North East,Bunkpurugu Nakpanduri District,Tandiugu
Upper East,Builsa South,Tandem
Upper West,Lawra,Tanchara
Ashanti,Atwima Nwabiagya,Tanansi
Bono,Sunyani West,Tanom
Western,Tarkwa Nsuaem,Tamso
North East,West Mamprusi,Tampulingu
Upper West,Jirapa,Tampoe
Upper East,Kassena Nankana,Tampola
Upper East,Bawku Municipal District,Tampizua
Upper East,Bawku West,Tampisaliga
Northern,Savelugu Municipal District,Tampiong
Upper East,Binduri District,Tampigogo
Upper West,Wa,Tampala
North East,Bunkpurugu Nakpanduri District,Tamoklugu
North East,Bunkpurugu Nakpanduri District,Tamoaye
Upper East,Unknown,Tamne
Volta,South Tongu District,Tamlago
Greater Accra,Ada East,Tamino
Ashanti,Asante Akim North,Tamiema
Volta,Ketu North District,Tamekofe
North East,Bunkpurugu Nakpanduri District,Tambona
North East,East Mamprusi,Tamboko
North East,Bunkpurugu Nakpanduri District,Tambinu
North East,Bunkpurugu Nakpanduri District,Tambinga
Bono,Unknown,Tamberi
Upper East,Garu District,Tambalugu
Upper East,Bawku Municipal District,Tambaligu
Upper East,Garu District,Natinga Tambalugu
Greater Accra,Ada East,Tamatuku
Northern,Karaga,Tamani
Northern,Karaga,Tamalugu
Northern,Tamale,Tamale
Western North,Aowin/Suaman,Tamale
Northern,Karaga,Tamalago
North East,Bunkpurugu Nakpanduri District,Tamakurugu
Volta,Ketu South District,Tamaklokofe
Volta,Ketu South District,Tama
Northern,Gushiegu,Talole
Northern,Savelugu Municipal District,Talole
Upper West,Sissala East,Taliasi
Northern,Tolon District,Tale
Northern,Nanumba North,Tale
Upper East,Pusiga,Terago
Eastern,Kwaebibirem,Takyiman
Northern,Tolon District,Takworoyili
Savannah,East Gonja,Takwili
Ashanti,Offinso North,Tano-Kwayem
Eastern,Kwahu South,Takwa
Eastern,Akyemansa,Takwa
Central,Gomoa West,Takwa
Volta,Agotime Ziope,Takuvi
Eastern,Yilo Krobo,Takunya
Volta,Akatsi District,Takukofe
North East,West Mamprusi,Takuka
Eastern,Denkyembour,Takrowasi
Central,Assin North,Takrowasi
Oti,Biakoye,Takrabe
Greater Accra,Shai Osudoku District,Takpe
Upper East,Garu District,Takpasi
Volta,North Tongu,Takpakofe
North East,West Mamprusi,Takorayiri
Eastern,Upper Manya Krobo,Takorasi
Ashanti,Amansie West,Takorasi
Western,Secondi Takoradi,Takoradi Point
Western,Secondi Takoradi,Takoradi
Bono East,Techiman North District,Takofiano
Volta,Ho,Takla
Northern,Karaga,Takalugu
Volta,Akatsi South,Taivime
Bono,Unknown,Tain Two Forest Reserve
Bono,Unknown,Tain Tributaries Forest Reserve
Bono,Tain,Tasino
Bono,Jaman North,Tainano Number Two
Bono,Jaman South,Taino Number One
Bono,Tain,Tainso
Central,Mfatseman,Taidu
Ashanti,Sekyere Afram Plains,Tahunto
Bono East,Atebubu-Amantin District,Tahima
Central,Abura/Asebu/Kwamankese,Tahido
Northern,Sagnerigu,Taha
Volta,Ketu South District,Tagbakofe
Volta,North Tongu,Tagaje
Volta,North Tongu,Taga
Central,Twifo Hemang Lower Denkyira,Tafrojoa
Ashanti,Kumasi,Tafo
Eastern,East Akim,Tafo
Volta,Afadzato South,Tafi Atome
North East,Chereponi,Tafaigaw
Volta,Ketu North District,Tadzewu
Eastern,Fanteakwa,Tadieso
Central,Upper Denkyira East,Tadanko
Ashanti,Adansi South,Tachikrom
Western North,Aowin/Suaman,Tachikrom
Central,Gomoa East,Tachemang
Central,Gomoa East,Tachem
North East,Chereponi,Tachegu
Ashanti,Sekyere South,Tabre
Ashanti,Amansie Central,Atabrakoso
Central,Abura/Asebu/Kwamankese,Tabosum
Eastern,Birim Central,Tabita
Ashanti,Atwima Nwabiagya,Tabiri
Upper West,Wa,Tabiase
Upper West,Daffiama Bussie Issa District,Tabeasi
Upper West,Nadowli,Tibanu
Ashanti,Afigya-Kwabre District,Swedru
Ashanti,Adansi South,Swedru
Central,Agona West,Swedru
Western,Prestea-Huni Valley,Swedru
Central,Ekumfi,Swedru
Western,Ahanta West,Swanzy Point
Upper West,Jirapa,Sawali
Eastern,Ayensuano,Suwurum
Eastern,Kwahu East,Suwuro
Western,Unknown,Suwini
Western,Wassa Amenfi East,Sutriaboi
Ashanti,Sekyere Afram Plains,Sutri
Western North,Aowin/Suaman,Sutrasi
Western,Wassa Amenfi Central,Suterasi
Ashanti,Unknown,Sute
Eastern,Upper Manya Krobo,Sutapong
Eastern,Yilo Krobo,Sutapong
Ashanti,Unknown,Sutai
Western,Tarkwa Nsuaem,Susumienu
Western,Prestea-Huni Valley,Susuma
Upper East,Garu District,Susudi
Ahafo,Tano North,Susuanso
Western,Unknown,Susan
Ahafo,Tano North,Susanho
Ahafo,Unknown,Susan
Northern,Kpandai,Suruku
Ashanti,Sekyere Afram Plains,Surukrom
Northern,Gushiegu,Surugu
Bono,Unknown,Suromuro
Western,Unknown,Suraw
Eastern,Birim South,Surasi
Western North,Sefwi-Wiawso,Sorono
Western North,Bibiani/Ahwiaso/Bekwai,Surano
Savannah,West Gonja,Supuni
Ashanti,Unknown,Supuma Shelterbelt Forest Reserve
Central,Ekumfi,Suprudu
Eastern,Birim Central,Suponso
Central,Asikuma/Odoben/Brakwa,Suponso
Ashanti,Unknown,Supon
Central,Unknown,Supong
Ashanti,Adansi South,Supong
Ashanti,Asante Akim South District,Supong
Bono,Unknown,Supira
Western,Wassa Amenfi Central,Supangso
Ashanti,Unknown,Supan
Ashanti,Unknown,Supang
North East,Bunkpurugu Nakpanduri District,Suoko
Western,Wassa Amenfi West,Sunyinasi
Bono,Sunyani,Sunyani
Western,Unknown,Sunwini
Western,Prestea-Huni Valley,Sunwinaboi
Ashanti,Amansie West,Suntreso
Western,Wassa Amenfi West,Suntiri
Northern,Yendi,Sunson
Greater Accra,Ada East,Sunkwenya
Eastern,Birim South,Sunkwa
Central,Ajumako/Enyan/Essiam,Sunkwa
Upper East,Pusiga,Sunkuom
Eastern,Akuapim North,Sunkramanya
North East,Chereponi,Sunkpungu
Western,Unknown,Sweni
Western,Wassa Amenfi Central,Sundarasi
Western,Prestea-Huni Valley,Sumaso
Eastern,Kwahu Afram Plains South,Sumsei
North East,East Mamprusi,Sumnaboma
Ashanti,Sekyere Afram Plains,Sumiso
Eastern,Kwahu East,Sumenakese
Western,Prestea-Huni Valley,Sumangho
Western,Tarkwa Nsuaem,Sumahu
Upper East,Garu District,Sumadure
Western,Unknown,Sule
Ashanti,Atwima Nwabiagya,Sokwae
Western,Nzema East,Sukusuku
Eastern,Upper West Akim,Sukunu
Ashanti,Unknown,Soko
Ashanti,Afigya-Kwabre District,Soko
Western,Unknown,Sui River Forest Reserve
Volta,Akatsi South,Suipe
Volta,Keta,Suife
Western,Unknown,Sui
Western,Unknown,Suhuma Forest Reserve
Western,Wassa Amenfi West,Suhuma
Ashanti,Asante Akim South District,Suhum
Eastern,Suhum/Kraboa/Coaltar,Suhum
Ashanti,Amansie Central,Suhyenso
Central,Twifo Ati-Morkwa,Suhienso
Western,Mpohor/Wassa East,Suhienso
Western North,Unknown,Suhien
Western,Unknown,Suhien
Bono,Dormaa,Nsuhia
Eastern,New Juaben,Suhien
Northern,Karaga,Suguri
Upper West,Lambussie Karni,Suggo
Greater Accra,Shai Osudoku District,Sugbaniate
Upper West,Sissala East,Sudelijan
Ashanti,Amansie Central,Sudantewa
Eastern,Upper Manya Krobo,Suchum
Eastern,Ayensuano,Sucherema
Eastern,Upper West Akim,Sucherema
Central,Assin North,Subunukrom
Western,Unknown,Subiri
Western,Wassa Amenfi West,Subritifikrom
Western,Wassa Amenfi Central,Subritifibopo
Ahafo,Tano South,Subenso
Ashanti,Adansi South,Subriso
Central,Assin North,Subriso
Central,Twifo Ati-Morkwa,Subriso
Western,Mpohor/Wassa East,Subriso
Western,Wassa Amenfi Central,Subriso
Western,Nzema East,Subriso
Western,Tarkwa Nsuaem,Subriso
Western,Wassa Amenfi West,Subriso
Western North,Aowin/Suaman,Subiriso
Western,Wassa Amenfi East,Subriso
Western,Unknown,Subri River Forest Reserve
Ahafo,Unknown,Subri
Western,Unknown,Subri
Central,Unknown,Subri
Western,Unknown,Sabri
Western,Unknown,Suburi
Western,Mpohor/Wassa East,Subri
Western,Nzema East,Subri
Ashanti,Ahafo Ano South,Sabronomu
Eastern,Birim South,Subiriso
Eastern,Birim South,Subirim
Western North,Bibiani/Ahwiaso/Bekwai,Subri
Bono,Wenchi,Subinso
Ashanti,Amansie Central,Subinso
Eastern,Denkyembour,Subinso
Ashanti,Adansi South,Subinso
Ashanti,Unknown,Subinkuma
Ashanti,Unknown,Subin Kawkaw
Bono East,Techiman Municipal District,Subenagya
Western,Wassa Amenfi Central,Subiniso
Central,Upper Denkyira West,Subin
Bono,Unknown,Subin
Ahafo,Unknown,Subin
Ashanti,Unknown,Subin
Central,Unknown,Subin
Central,Assin North,Subin
Bono East,Techiman Municipal District,Subin
Ashanti,Amansie Central,Subinma
Ashanti,Unknown,Subia
Ashanti,Adansi North,Subi
Eastern,Kwaebibirem,Subi
Bono,Sunyani West,Suatre Amanfoso
Bono,Unknown,Suatre
North East,East Mamprusi,Suasogbe
Savannah,East Gonja,Suasie
Upper East,North Builsa District,Suarensa
Central,Ekumfi,Suani
Ashanti,Kumasi,Suame
Ahafo,Asutifi,Suafe
Bono,Dormaa,Sromani
Volta,Keta,Srogboe
Volta,Afadzato South,Sroe
Western,Jomoro,Sringabo
Ashanti,Atwima Mponua,Sribuoso
Western,Unknown,Sra
Ashanti,Offinso North,Sraniso
Ahafo,Tano South,Sraneano
Ahafo,Unknown,Srani
Ashanti,Adansi South,Sraha
Western,Prestea-Huni Valley,Sraha
Eastern,Yilo Krobo,Sra
North East,Bunkpurugu Nakpanduri District,Soyegu
Central,Assin North,Sowudadiem
Volta,Ketu North District,Sovi
Greater Accra,Ga West,Chantan
Volta,South Tongu District,Sota
Western,Wassa Amenfi West,Soroso
Bono East,Kintampo North Municipal District,Soronuasi
Central,Cape Coast,Sorofu
Western,Unknown,Soro
Ashanti,Adansi South,Soro
Northern,Kumbumgu,Sorlugu
Upper East,Bongo District,Sore
Upper East,Bolgatanga Municipal District,Sore
Upper West,Sissala West,Sorbele
Bono East,Kintampo South District,Sora
Volta,North Tongu,Sopoliyi
Savannah,East Gonja,Sopirtso
Savannah,Sawla-Tuna-Kalba,Soma
Savannah,Sawla-Tuna-Kalba,Sanjeri
Volta,Ketu South District,Sonume
Volta,Adaklu,Sonukpo
Volta,South Tongu District,Sonukpo
Volta,North Tongu,Sonukofe
Eastern,Akuapim North,Sonkonya
Greater Accra,Ada West,Songonya
Upper East,Unknown,Songo Mountains
Volta,Keta,Songbe
Northern,Tolon District,Song
Volta,South Tongu District,Sondo
Greater Accra,Shai Osudoku District,Somewayo
Volta,Central Tongu,Somekbe
Greater Accra,Shai Osudoku District,Some
Upper West,Sissala East,Somboro
Upper West,Wa East,Sombisi
Eastern,Yilo Krobo,Somanya
Volta,North Tongu,Somanukofe
Upper East,Garu District,Zomandego
Upper West,Unknown,Solonyho
Northern,Gushiegu,Solochojachale
Volta,Ketu North District,Sokukofe
Volta,South Tongu District,Sokpoe
Northern,Yendi,Sokoli
Volta,Ho,Sokode Etoe
Ashanti,Kumasi,Sakoban
Ashanti,Amansie Central,Soko
Volta,Ho West,Soklem
Volta,Keta,Sokladzi
Western,Wassa Amenfi Central,Sekana
Upper East,Bolgatanga Municipal District,Sokabisi
Volta,Ketu South District,Srohume
Greater Accra,Shai Osudoku District,Sohapa
